middle_gold,late_gold
7.56,3.64
-3.34,-28.32
-5.79,-6.97
27.38,3.68
20.66,14.76
-1.62,-0.52
-8.25,3.81
21.48,19.39
11.71,-5.83
-0.61,9.16
23.31,7.72
-10.57,-10.03
3.35,8.91
1.01,-6.35
18.26,0.47
2.37,1.76
3.6,-2.25
-8.93,-7.98
-14.26,-12.73
-2.23,-9.2
-3.02,4.12
-8.1,-10.15
-7.23,-26.78
7.41,-1.28
11.31,21.7
-6.37,6.4
-4.77,-16.28
2.28,-3.43
1.39,-7.05
-22.21,-19.63
3.54,-4.99
-46.79,-64.69
-3.16,0.75
-5.0,-9.74
-4.2,6.29
9.17,-1.81
-0.18,-9.92
3.86,11.43
-0.67,4.21
19.0,24.41
-8.96,-27.96
-4.0,-7.82
-4.43,0.38
-7.46,-28.16
8.93,16.21
-10.1,3.44
-14.95,-22.63
-0.94,-7.64
-6.91,0.2
8.15,-2.67
2.15,1.8
9.06,15.98
-41.41,-35.34
26.08,32.83
8.79,25.22
-8.78,-26.49
-13.18,5.71
9.05,9.74
32.11,61.29
9.41,12.49
-4.53,-13.67
-13.75,-10.93
12.55,24.18
1.35,8.17
-9.72,0.22
-13.24,-2.43
6.85,0.18
-4.55,-15.09
2.62,-17.74
-19.2,-25.73
-0.8,5.96
-9.97,-10.27
16.02,7.29
-10.74,1.8
7.73,18.79
-20.12,-25.9
-5.53,-33.22
-0.52,9.44
11.1,17.18
18.41,22.28
23.38,45.78
11.72,21.25
-7.31,-11.01
-22.27,-21.06
-21.6,-36.97
9.01,5.56
-5.61,0.62
24.55,39.03
11.61,28.18
0.62,-17.67
1.93,22.09
-5.52,-3.24
-4.71,-8.75
-3.82,5.9
-8.23,-40.79
-9.05,-7.42
-25.28,-36.94
1.54,0.21
-3.02,-20.32
9.57,13.08
3.71,9.41
-32.26,-36.62
15.32,27.33
0.37,-2.18
-10.81,-23.13
14.23,-10.68
2.11,4.07
-2.24,-5.63
9.15,3.23
32.36,55.17
-3.23,-19.03
1.26,14.36
23.47,29.91
-46.15,-47.73
1.47,16.38
11.7,22.01
-4.94,-0.25
-19.32,-23.12
7.93,31.05
-20.38,0.21
-5.28,-5.46
-14.12,-10.54
-9.07,12.45
-4.25,8.94
12.28,11.81
-7.84,-25.61
12.5,14.73
1.78,13.27
8.05,6.6
-3.03,-1.5
-4.8,6.84
12.12,31.45
-24.18,-9.88
5.23,-9.67
20.71,2.95
2.76,22.63
-3.6,-4.2
42.91,44.24
5.49,26.9
8.53,13.41
-18.64,-3.82
-3.22,4.78
-3.69,-5.59
-0.48,-0.18
2.1,-22.82
19.63,-3.25
-10.79,-8.19
-25.65,-28.96
-4.43,-10.36
4.94,5.47
7.17,20.25
18.44,36.78
-6.22,9.99
-1.72,17.67
-10.45,-7.79
-2.89,-11.8
-5.11,-17.62
-6.31,-9.03
0.98,-0.27
18.6,19.07
-19.99,-14.53
-12.32,-25.47
-13.01,-13.19
7.45,7.0
-9.07,0.1
11.78,8.6
17.41,11.43
-0.47,-32.11
-7.64,-10.43
6.06,-23.36
15.06,13.37
34.15,40.2
-3.84,-25.86
27.51,35.31
10.13,-5.84
24.21,47.92
-4.05,-8.69
21.25,21.61
-24.21,-42.23
8.5,21.78
5.09,-4.23
-7.56,3.03
6.01,6.3
-6.29,-21.2
-5.08,-20.01
11.7,21.91
-7.39,-19.96
-20.03,-19.94
-18.37,-18.5
-3.85,-10.94
-8.63,-21.21
-10.47,-14.39
-8.65,-3.49
4.77,4.59
-5.51,-5.24
-24.77,-39.36
20.98,3.91
-0.81,-11.39
7.49,13.03
12.79,29.28
8.35,2.21
0.22,3.4
-0.45,14.86
-6.65,-28.09
-6.65,-9.94
-2.51,26.92
24.52,42.59
21.42,16.46
8.47,18.44
-20.76,-30.9
-22.93,-53.3
-5.31,15.88
13.47,25.62
9.03,13.05
-11.67,-37.35
2.49,-2.2
14.96,1.0
10.58,15.23
-1.01,-22.67
1.01,-29.5
4.51,-7.65
5.71,38.51
-8.35,-5.97
14.94,4.18
-1.52,-11.5
-20.06,3.21
2.77,-3.07
-3.5,24.29
-0.22,5.26
-3.75,7.93
-0.2,-18.93
12.41,24.49
-2.93,8.71
-4.96,11.31
20.28,21.38
-9.2,-11.2
-15.55,-25.45
9.42,-6.05
13.47,5.11
-5.33,3.41
23.49,12.36
15.48,19.76
5.06,-4.43
-26.74,-22.32
26.22,48.14
13.91,21.98
-6.25,2.87
9.33,25.4
-26.44,-22.53
46.25,38.29
6.36,-5.69
4.33,0.73
-7.06,-23.13
-24.89,-43.16
-19.18,-9.16
-7.01,-8.34
2.77,4.85
19.73,4.23
-19.86,-47.03
-1.25,-21.27
-2.76,-17.1
2.32,1.49
5.38,-6.16
-5.55,-1.94
-1.35,5.37
8.46,-1.12
-9.15,-15.33
-6.28,-7.4
-0.89,6.22
9.12,9.0
7.2,15.07
17.5,8.87
14.28,10.5
-23.38,-30.69
12.75,4.06
-22.05,-20.44
-7.85,-11.16
-9.03,-12.93
-10.23,-17.61
-9.08,-6.81
-19.88,-23.93
33.34,39.55
-1.14,-6.3
-1.72,5.37
3.28,6.88
-2.23,-19.66
-19.97,-20.9
1.57,9.44
-11.15,-19.39
-8.02,-4.84
1.73,-5.96
-12.0,-19.89
-5.53,24.01
6.92,14.49
13.32,16.08
-8.41,-17.65
-0.71,-7.15
-8.53,-13.68
2.55,-2.95
23.3,23.65
-3.6,-12.71
-4.0,13.98
20.43,32.72
-14.89,-31.89
3.64,-23.03
9.53,7.23
-12.29,-3.59
-2.97,-14.08
-12.22,-27.12
2.63,9.29
-14.41,-28.77
2.76,10.75
-26.04,-26.22
9.89,17.8
8.82,-2.04
1.37,23.08
9.67,5.35
3.27,6.44
-9.62,13.33
3.99,-7.26
4.34,2.76
6.36,4.99
10.23,28.54
2.31,7.85
-14.72,-12.24
6.34,11.27
-3.26,-3.17
26.67,44.58
-8.0,-11.14
-3.99,-6.36
-8.54,-25.57
-8.78,-14.48
7.71,15.88
9.26,21.89
-23.9,-24.69
12.43,19.73
-15.09,-14.64
4.19,4.14
6.04,13.24
-9.73,-16.83
15.13,16.56
-7.63,-7.98
-10.89,-33.46
9.54,14.88
13.17,19.79
13.25,3.27
6.72,-0.63
7.96,-4.52
15.48,5.71
-9.92,-28.07
13.14,-4.91
1.03,3.8
8.85,17.68
-14.13,-6.47
13.65,17.09
8.78,24.48
-18.88,-9.85
21.2,37.38
-4.58,3.67
13.3,24.76
-1.13,3.9
-2.06,-13.96
0.34,-15.16
2.31,1.37
5.18,3.78
-5.56,-14.75
-8.4,-14.36
-2.96,-0.79
16.46,20.97
-10.98,-22.32
-18.38,-12.22
5.01,3.77
-1.53,15.99
10.74,4.82
16.21,27.9
1.98,-5.09
-4.42,-19.54
10.62,22.48
2.16,4.45
-3.76,0.42
6.28,6.0
13.83,16.02
-14.78,-40.18
4.97,21.93
2.88,-0.52
-2.89,13.83
6.07,1.52
1.8,6.14
3.87,11.74
10.53,10.42
-5.05,-2.77
-10.78,-8.88
-15.18,-28.54
-17.75,-26.71
-0.12,0.97
3.93,18.68
9.14,19.7
-11.02,1.3
19.37,27.03
0.83,-7.67
3.55,-10.56
-11.65,-18.7
8.07,20.92
1.65,-10.36
4.26,14.01
-55.13,-53.12
-8.88,-7.06
-6.43,-23.04
4.12,1.29
-19.37,-22.85
-2.86,-6.96
-9.35,-1.43
-7.39,-24.19
-3.86,9.16
-7.02,-31.41
-7.9,-8.68
1.15,4.34
-6.74,2.05
-17.37,-32.61
4.99,-1.51
10.48,7.24
9.67,25.29
-5.96,1.73
-15.59,-6.49
-1.27,-6.3
-8.22,5.57
-7.6,2.0
18.16,23.22
-7.11,-9.11
-1.59,4.37
13.08,16.49
-5.91,-16.74
4.51,4.37
