Champion,Gold_Data
yorick,"[0.53, 96.42, 319.84, 348.95, 323.07, 326.05, 334.39, 322.71, 353.22, 360.32, 342.22, 369.5, 391.54, 355.49, 339.0, 395.54, 418.14, 479.34, 463.72, 350.75, 430.59, 418.66, 414.88, 458.91, 422.11, 522.18, 429.06, 408.27, 421.39, 454.72]"
galio,"[0.23, 117.25, 294.12, 334.78, 345.13, 297.36, 368.51, 342.24, 346.34, 376.59, 375.83, 326.86, 398.03, 382.55, 324.03, 385.68, 409.63, 393.71, 395.26, 378.59, 376.64, 394.95, 368.61, 394.77, 327.89, 453.7, 443.81, 438.67, 436.84, 407.24]"
smolder,"[0.33, 125.7, 306.57, 373.33, 346.37, 321.4, 354.7, 356.3, 331.87, 396.97, 374.7, 369.93, 444.67, 429.33, 358.37, 428.23, 469.57, 464.5, 447.33, 410.07, 424.53, 427.57, 592.77, 470.13, 482.93, 480.3, 561.28, 543.0, 449.63, 539.22]"
xayah,"[0.5, 103.97, 327.81, 356.57, 320.17, 325.63, 388.73, 369.81, 344.45, 395.16, 394.89, 386.17, 450.24, 449.45, 371.74, 485.51, 485.94, 455.01, 466.04, 477.76, 456.29, 499.0, 486.36, 496.14, 470.64, 542.82, 579.19, 581.67, 612.64, 489.74]"
gwen,"[2.16, 101.0, 316.58, 331.61, 328.5, 302.04, 342.48, 323.87, 352.58, 377.05, 345.13, 344.6, 378.65, 377.67, 342.37, 391.53, 384.53, 401.9, 414.28, 404.36, 420.87, 429.02, 445.77, 441.27, 404.68, 458.8, 500.49, 452.75, 482.47, 485.92]"
khazix,"[0.0, 116.0, 422.0, 227.0, 637.0, 361.0, 382.0, 170.0, 386.0, 388.0, 397.0, 667.0, 122.0, 362.0, 421.0, 313.0, 292.0, 523.0, 242.0, 405.0, 354.0, 203.0, 433.0, 258.0, 222.0, 123.0, 377.0, 102.0, 0, 0]"
sylas,"[0.47, 111.81, 307.65, 357.89, 335.62, 314.72, 342.24, 353.57, 330.16, 375.13, 381.0, 366.79, 400.66, 415.24, 337.09, 395.51, 384.98, 437.64, 397.85, 392.18, 420.83, 389.4, 392.15, 378.86, 338.64, 394.54, 449.03, 451.38, 432.83, 429.65]"
twisted fate,"[0.88, 154.6, 371.44, 438.84, 418.56, 353.92, 376.76, 441.32, 379.4, 432.12, 525.4, 440.8, 463.44, 492.72, 370.76, 420.64, 468.8, 465.96, 448.2, 507.12, 468.48, 538.04, 424.0, 404.68, 488.6, 493.36, 570.32, 611.24, 441.42, 446.11]"
azir,"[0.24, 128.54, 306.9, 356.16, 351.35, 316.52, 384.98, 387.19, 337.48, 402.7, 397.55, 368.57, 430.5, 420.29, 374.61, 450.94, 472.11, 422.98, 442.59, 432.14, 456.23, 458.4, 456.7, 423.43, 437.26, 463.77, 545.21, 483.03, 493.29, 465.04]"
leblanc,"[1.56, 125.75, 334.06, 366.69, 346.44, 315.88, 350.44, 350.94, 372.06, 435.81, 361.31, 337.38, 429.31, 370.69, 443.81, 414.25, 478.44, 317.31, 364.56, 361.12, 534.88, 418.56, 364.88, 412.81, 391.19, 413.62, 461.12, 431.0, 346.57, 477.0]"
